{change state, turn}(nselect:0) 	 	 {clot, coagulate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {sour, turn, ferment, work}(nselect:0)
{change state, turn}(nselect:0) 	 	 {integrate}(nselect:0)
{integrate}(nselect:0) 	 	 {lysogenize}(nselect:0)
{integrate}(nselect:0) 	 	 {unify, unite, merge}(nselect:3)
{unify, unite, merge}(nselect:3) 	 	 {consolidate}(nselect:0)
{unify, unite, merge}(nselect:3) 	 	 {consubstantiate}(nselect:0)
{unify, unite, merge}(nselect:3) 	 	 {syncretize, syncretise}(nselect:0)
{unify, unite, merge}(nselect:3) 	 	 {converge}(nselect:0)
{unify, unite, merge}(nselect:3) 	 	 {federate, federalize, federalise}(nselect:0)
{unify, unite, merge}(nselect:3) 	 	 {coalesce}(nselect:0)
{change state, turn}(nselect:0) 	 	 {precipitate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {calcify}(nselect:0)
{change state, turn}(nselect:0) 	 	 {coke}(nselect:0)
{change state, turn}(nselect:0) 	 	 {carnify}(nselect:0)
{change state, turn}(nselect:0) 	 	 {chondrify}(nselect:0)
{change state, turn}(nselect:0) 	 	 {emulsify}(nselect:0)
{change state, turn}(nselect:0) 	 	 {denitrify}(nselect:0)
{change state, turn}(nselect:0) 	 	 {esterify}(nselect:0)
{change state, turn}(nselect:0) 	 	 {etherify}(nselect:0)
{change state, turn}(nselect:0) 	 	 {thrombose}(nselect:0)
{change state, turn}(nselect:0) 	 	 {open, open up}(nselect:0)
{change state, turn}(nselect:0) 	 	 {close, shut}(nselect:4)
{change state, turn}(nselect:0) 	 	 {sorb, take up}(nselect:0)
{change state, turn}(nselect:0) 	 	 {calm, calm down, cool off, chill out, simmer down, settle down, cool it}(nselect:0)
{change state, turn}(nselect:0) 	 	 {thrive, prosper, fly high, flourish}(nselect:0)
{change state, turn}(nselect:0) 	 	 {emancipate, liberate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {get into, tangle with}(nselect:0)
{change state, turn}(nselect:0) 	 	 {liquefy}(nselect:0)
{change state, turn}(nselect:0) 	 	 {erupt, ignite, catch fire, take fire, combust, conflagrate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {become, go, get}(nselect:1)
{become, go, get}(nselect:1) 	 	 {sober up, sober}(nselect:0)
{become, go, get}(nselect:1) 	 	 {sober up, sober}(nselect:0)
{become, go, get}(nselect:1) 	 	 {work}(nselect:0)
{become, go, get}(nselect:1) 	 	 {take effect}(nselect:0)
{become, go, get}(nselect:1) 	 	 {run}(nselect:0)
{become, go, get}(nselect:1) 	 	 {take}(nselect:0)
{become, go, get}(nselect:1) 	 	 {break}(nselect:0)
{become, go, get}(nselect:1) 	 	 {settle}(nselect:0)
{change}(nselect:0) 	 	 {adjust, conform, adapt}(nselect:0)
{adjust, conform, adapt}(nselect:0) 	 	 {obey}(nselect:0)
{obey}(nselect:0) 	 	 {take orders}(nselect:0)
