root(nselect:0) 	 	 Verbo(nselect:0)
{official, functionary}(nselect:0) 	 	 {prosecutor, public prosecutor, prosecuting officer, prosecuting attorney}(nselect:0)
{official, functionary}(nselect:0) 	 	 {quaestor}(nselect:0)
{official, functionary}(nselect:0) 	 	 {recruiter}(nselect:0)
{official, functionary}(nselect:0) 	 	 {registrar, record-keeper, recorder}(nselect:0)
{official, functionary}(nselect:0) 	 	 {regulator}(nselect:0)
{official, functionary}(nselect:0) 	 	 {returning officer}(nselect:0)
{official, functionary}(nselect:0) 	 	 {sealer}(nselect:0)
{official, functionary}(nselect:0) 	 	 {searcher}(nselect:0)
{official, functionary}(nselect:0) 	 	 {teller, vote counter}(nselect:0)
{official, functionary}(nselect:0) 	 	 {town clerk}(nselect:0)
{official, functionary}(nselect:0) 	 	 {usher, doorkeeper}(nselect:0)
{official, functionary}(nselect:0) 	 	 {vizier}(nselect:0)
{official, functionary}(nselect:0) 	 	 {weigher}(nselect:0)
{official, functionary}(nselect:0) 	 	 {judge, justice, jurist}(nselect:5)
{judge, justice, jurist}(nselect:5) 	 	 {alcalde}(nselect:0)
{judge, justice, jurist}(nselect:5) 	 	 {chief justice}(nselect:0)
{judge, justice, jurist}(nselect:5) 	 	 {Daniel}(nselect:0)
{judge, justice, jurist}(nselect:5) 	 	 {doge}(nselect:0)
{judge, justice, jurist}(nselect:5) 	 	 {justiciar, justiciary}(nselect:0)
{judge, justice, jurist}(nselect:5) 	 	 {magistrate}(nselect:0)
{judge, justice, jurist}(nselect:5) 	 	 {ordinary}(nselect:0)
{judge, justice, jurist}(nselect:5) 	 	 {praetor, pretor}(nselect:0)
{judge, justice, jurist}(nselect:5) 	 	 {qadi}(nselect:0)
{judge, justice, jurist}(nselect:5) 	 	 {recorder}(nselect:0)
{judge, justice, jurist}(nselect:5) 	 	 {trial judge}(nselect:0)
{judge, justice, jurist}(nselect:5) 	 	 {trier}(nselect:0)
{worker}(nselect:0) 	 	 {employee}(nselect:0)
{employee}(nselect:0) 	 	 {dining-room attendant, restaurant attendant}(nselect:0)
{dining-room attendant, restaurant attendant}(nselect:0) 	 	 {busboy, waiter's assistant}(nselect:0)
{dining-room attendant, restaurant attendant}(nselect:0) 	 	 {captain, headwaiter, maitre d'hotel, maitre d'}(nselect:0)
{dining-room attendant, restaurant attendant}(nselect:0) 	 	 {waiter, server}(nselect:4)
