Verbo(nselect:0) 	 	 {act, move}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {bay}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {rant, mouth off, jabber, spout, rabbit on, rave}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {hiss, sizz, siss, sibilate}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {cackle}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {babble}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {tone, chant, intone}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {gulp}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {shout}(nselect:4)
{shout}(nselect:4) 	 	 {yell, scream}(nselect:0)
{shout}(nselect:4) 	 	 {holler, holler out}(nselect:0)
{shout}(nselect:4) 	 	 {thunder, roar}(nselect:0)
{shout}(nselect:4) 	 	 {bawl, bellow}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {talk, speak}(nselect:0)
{talk, speak}(nselect:0) 	 	 {converse, discourse}(nselect:0)
{converse, discourse}(nselect:0) 	 	 {argue, contend, debate, fence}(nselect:0)
{argue, contend, debate, fence}(nselect:0) 	 	 {oppose}(nselect:0)
{oppose}(nselect:0) 	 	 {contest, contend, repugn}(nselect:0)
{contest, contend, repugn}(nselect:0) 	 	 {challenge, dispute, gainsay}(nselect:4)
{challenge, dispute, gainsay}(nselect:4) 	 	 {call}(nselect:0)
{challenge, dispute, gainsay}(nselect:4) 	 	 {call}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {yak, gab}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {fingerspell, finger-spell}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {aphorize, aphorise}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {riddle}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {project}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {reach, get through, get hold of, contact}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {inflict, bring down, visit, impose}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {commune}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {ask, inquire, enquire}(nselect:1)
{ask, inquire, enquire}(nselect:1) 	 	 {pry}(nselect:0)
{ask, inquire, enquire}(nselect:1) 	 	 {consult, confer with}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {telecommunicate}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {joke, jest}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {blog}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {greet}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {address, turn to}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {nod}(nselect:0)
