Verbo(nselect:0) 	 	 {record, register}(nselect:4)
{beat, beat out, crush, shell, trounce, vanquish}(nselect:0) 	 	 {outdo, outflank, trump, best, scoop}(nselect:0)
{beat, beat out, crush, shell, trounce, vanquish}(nselect:0) 	 	 {outfight}(nselect:0)
{beat, beat out, crush, shell, trounce, vanquish}(nselect:0) 	 	 {overpower, overmaster, overwhelm}(nselect:0)
{beat, beat out, crush, shell, trounce, vanquish}(nselect:0) 	 	 {checkmate, mate}(nselect:0)
{beat, beat out, crush, shell, trounce, vanquish}(nselect:0) 	 	 {immobilize, immobilise}(nselect:0)
{beat, beat out, crush, shell, trounce, vanquish}(nselect:0) 	 	 {outplay}(nselect:0)
{beat, beat out, crush, shell, trounce, vanquish}(nselect:0) 	 	 {cream, bat, clobber, drub, thrash, lick}(nselect:0)
{beat, beat out, crush, shell, trounce, vanquish}(nselect:0) 	 	 {surpass, outstrip, outmatch, outgo, exceed, outdo, surmount, outperform}(nselect:2)
{surpass, outstrip, outmatch, outgo, exceed, outdo, surmount, outperform}(nselect:2) 	 	 {outwit, overreach, outsmart, outfox, beat, circumvent}(nselect:0)
{surpass, outstrip, outmatch, outgo, exceed, outdo, surmount, outperform}(nselect:2) 	 	 {outgrow}(nselect:0)
{surpass, outstrip, outmatch, outgo, exceed, outdo, surmount, outperform}(nselect:2) 	 	 {outshout, outcry}(nselect:0)
{surpass, outstrip, outmatch, outgo, exceed, outdo, surmount, outperform}(nselect:2) 	 	 {outroar}(nselect:0)
{surpass, outstrip, outmatch, outgo, exceed, outdo, surmount, outperform}(nselect:2) 	 	 {outsail}(nselect:0)
{surpass, outstrip, outmatch, outgo, exceed, outdo, surmount, outperform}(nselect:2) 	 	 {outdraw}(nselect:0)
{surpass, outstrip, outmatch, outgo, exceed, outdo, surmount, outperform}(nselect:2) 	 	 {outsell}(nselect:0)
{surpass, outstrip, outmatch, outgo, exceed, outdo, surmount, outperform}(nselect:2) 	 	 {outsell}(nselect:0)
{surpass, outstrip, outmatch, outgo, exceed, outdo, surmount, outperform}(nselect:2) 	 	 {outpace}(nselect:0)
{surpass, outstrip, outmatch, outgo, exceed, outdo, surmount, outperform}(nselect:2) 	 	 {better, break}(nselect:0)
{surpass, outstrip, outmatch, outgo, exceed, outdo, surmount, outperform}(nselect:2) 	 	 {outshine}(nselect:0)
{surpass, outstrip, outmatch, outgo, exceed, outdo, surmount, outperform}(nselect:2) 	 	 {outrange}(nselect:0)
{surpass, outstrip, outmatch, outgo, exceed, outdo, surmount, outperform}(nselect:2) 	 	 {outweigh}(nselect:0)
{surpass, outstrip, outmatch, outgo, exceed, outdo, surmount, outperform}(nselect:2) 	 	 {outbrave}(nselect:0)
{surpass, outstrip, outmatch, outgo, exceed, outdo, surmount, outperform}(nselect:2) 	 	 {out-herod}(nselect:0)
{surpass, outstrip, outmatch, outgo, exceed, outdo, surmount, outperform}(nselect:2) 	 	 {outfox}(nselect:0)
{surpass, outstrip, outmatch, outgo, exceed, outdo, surmount, outperform}(nselect:2) 	 	 {shame}(nselect:0)
{surpass, outstrip, outmatch, outgo, exceed, outdo, surmount, outperform}(nselect:2) 	 	 {outmarch}(nselect:0)
{surpass, outstrip, outmatch, outgo, exceed, outdo, surmount, outperform}(nselect:2) 	 	 {outwear}(nselect:0)
Verbo(nselect:0) 	 	 {express, verbalize, verbalise, utter, give tongue to}(nselect:0)
{express, verbalize, verbalise, utter, give tongue to}(nselect:0) 	 	 {state, say, tell}(nselect:0)
{state, say, tell}(nselect:0) 	 	 {present, represent, lay out}(nselect:0)
{state, say, tell}(nselect:0) 	 	 {misstate}(nselect:0)
{state, say, tell}(nselect:0) 	 	 {answer, reply, respond}(nselect:0)
{state, say, tell}(nselect:0) 	 	 {precede, preface, premise, introduce}(nselect:0)
{state, say, tell}(nselect:0) 	 	 {articulate, enunciate, vocalize, vocalise}(nselect:0)
{state, say, tell}(nselect:0) 	 	 {get out}(nselect:0)
{state, say, tell}(nselect:0) 	 	 {declare}(nselect:0)
{state, say, tell}(nselect:0) 	 	 {declare}(nselect:0)
{state, say, tell}(nselect:0) 	 	 {note, observe, mention, remark}(nselect:0)
{state, say, tell}(nselect:0) 	 	 {add, append, supply}(nselect:0)
{state, say, tell}(nselect:0) 	 	 {explain}(nselect:0)
{state, say, tell}(nselect:0) 	 	 {give}(nselect:0)
{state, say, tell}(nselect:0) 	 	 {summarize, summarise, sum, sum up}(nselect:0)
{state, say, tell}(nselect:0) 	 	 {announce, declare}(nselect:5)
{announce, declare}(nselect:5) 	 	 {promulgate}(nselect:0)
Verbo(nselect:0) 	 	 {have, have got, hold}(nselect:2)
{have, have got, hold}(nselect:2) 	 	 {sustain, keep, maintain}(nselect:0)
{have, have got, hold}(nselect:2) 	 	 {keep, hold on}(nselect:0)
{have, have got, hold}(nselect:2) 	 	 {keep}(nselect:0)
{have, have got, hold}(nselect:2) 	 	 {keep, maintain}(nselect:0)
{have, have got, hold}(nselect:2) 	 	 {keep}(nselect:0)
{have, have got, hold}(nselect:2) 	 	 {monopolize, monopolise}(nselect:0)
{have, have got, hold}(nselect:2) 	 	 {wield, exert, maintain}(nselect:0)
{have, have got, hold}(nselect:2) 	 	 {stock, carry, stockpile}(nselect:0)
{have, have got, hold}(nselect:2) 	 	 {bear, hold}(nselect:0)
{have, have got, hold}(nselect:2) 	 	 {carry}(nselect:0)
Verbo(nselect:0) 	 	 {get, acquire}(nselect:0)
{get, acquire}(nselect:0) 	 	 {gain, take in, clear, make, earn, realize, realise, pull in, bring in}(nselect:0)
{gain, take in, clear, make, earn, realize, realise, pull in, bring in}(nselect:0) 	 	 {eke out, squeeze out}(nselect:0)
{gain, take in, clear, make, earn, realize, realise, pull in, bring in}(nselect:0) 	 	 {rake off}(nselect:0)
{gain, take in, clear, make, earn, realize, realise, pull in, bring in}(nselect:0) 	 	 {take home, bring home}(nselect:0)
{gain, take in, clear, make, earn, realize, realise, pull in, bring in}(nselect:0) 	 	 {rake in, shovel in}(nselect:0)
{gain, take in, clear, make, earn, realize, realise, pull in, bring in}(nselect:0) 	 	 {gross}(nselect:0)
{gain, take in, clear, make, earn, realize, realise, pull in, bring in}(nselect:0) 	 	 {yield, pay, bear}(nselect:0)
{gain, take in, clear, make, earn, realize, realise, pull in, bring in}(nselect:0) 	 	 {profit, turn a profit}(nselect:1)
{profit, turn a profit}(nselect:1) 	 	 {line one's pockets}(nselect:0)
{profit, turn a profit}(nselect:1) 	 	 {turn a nice dime, turn a nice penny, turn a nice dollar}(nselect:0)
{profit, turn a profit}(nselect:1) 	 	 {clean up}(nselect:0)
{get, acquire}(nselect:0) 	 	 {isolate}(nselect:0)
{get, acquire}(nselect:0) 	 	 {win back, get back}(nselect:0)
{get, acquire}(nselect:0) 	 	 {press out, express, extract}(nselect:0)
{get, acquire}(nselect:0) 	 	 {capture, catch}(nselect:0)
{get, acquire}(nselect:0) 	 	 {come by, come into}(nselect:0)
{get, acquire}(nselect:0) 	 	 {buy, purchase}(nselect:0)
