root(nselect:0) 	 	 Verbo(nselect:0)
{lawyer, attorney}(nselect:0) 	 	 {barrister}(nselect:0)
{lawyer, attorney}(nselect:0) 	 	 {conveyancer}(nselect:0)
{lawyer, attorney}(nselect:0) 	 	 {defense attorney, defense lawyer}(nselect:0)
{lawyer, attorney}(nselect:0) 	 	 {divorce lawyer}(nselect:0)
{lawyer, attorney}(nselect:0) 	 	 {public defender}(nselect:0)
{lawyer, attorney}(nselect:0) 	 	 {referee}(nselect:0)
{lawyer, attorney}(nselect:0) 	 	 {solicitor}(nselect:0)
{lawyer, attorney}(nselect:0) 	 	 {trial attorney, trial lawyer}(nselect:0)
{lawyer, attorney}(nselect:0) 	 	 {prosecutor, public prosecutor, prosecuting officer, prosecuting attorney}(nselect:5)
{prosecutor, public prosecutor, prosecuting officer, prosecuting attorney}(nselect:5) 	 	 {district attorney, DA}(nselect:0)
{prosecutor, public prosecutor, prosecuting officer, prosecuting attorney}(nselect:5) 	 	 {state's attorney, state attorney}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {communicator}(nselect:0)
{communicator}(nselect:0) 	 	 {negotiator, negotiant, treater}(nselect:0)
{negotiator, negotiant, treater}(nselect:0) 	 	 {representative}(nselect:0)
{representative}(nselect:0) 	 	 {head of state, chief of state}(nselect:0)
{head of state, chief of state}(nselect:0) 	 	 {chancellor, premier, prime minister}(nselect:0)
{head of state, chief of state}(nselect:0) 	 	 {Prime Minister, PM, premier}(nselect:0)
{head of state, chief of state}(nselect:0) 	 	 {President of the United States, United States President, President, Chief Executive}(nselect:0)
{head of state, chief of state}(nselect:0) 	 	 {sovereign, crowned head, monarch}(nselect:0)
{head of state, chief of state}(nselect:0) 	 	 {president}(nselect:15)
{president}(nselect:15) 	 	 {ex-president}(nselect:0)
{communicator}(nselect:0) 	 	 {alarmist}(nselect:0)
{communicator}(nselect:0) 	 	 {allegorizer, allegoriser}(nselect:0)
{communicator}(nselect:0) 	 	 {announcer}(nselect:0)
{communicator}(nselect:0) 	 	 {articulator}(nselect:0)
{communicator}(nselect:0) 	 	 {asserter, declarer, affirmer, asseverator, avower}(nselect:0)
{communicator}(nselect:0) 	 	 {avower}(nselect:0)
{communicator}(nselect:0) 	 	 {broadcaster}(nselect:0)
{communicator}(nselect:0) 	 	 {conferee}(nselect:0)
{communicator}(nselect:0) 	 	 {conferrer}(nselect:0)
{communicator}(nselect:0) 	 	 {confessor}(nselect:0)
{communicator}(nselect:0) 	 	 {correspondent, letter writer}(nselect:0)
{communicator}(nselect:0) 	 	 {gossip, gossiper, gossipmonger, rumormonger, rumourmonger, newsmonger}(nselect:0)
{communicator}(nselect:0) 	 	 {hisser}(nselect:0)
{communicator}(nselect:0) 	 	 {informant, source}(nselect:0)
{communicator}(nselect:0) 	 	 {laudator, lauder, extoller}(nselect:0)
{communicator}(nselect:0) 	 	 {persuader, inducer}(nselect:0)
{communicator}(nselect:0) 	 	 {popularizer, populariser, vulgarizer, vulgariser}(nselect:0)
{communicator}(nselect:0) 	 	 {presenter}(nselect:0)
{communicator}(nselect:0) 	 	 {promisee}(nselect:0)
{communicator}(nselect:0) 	 	 {promiser, promisor}(nselect:0)
{communicator}(nselect:0) 	 	 {propagandist}(nselect:0)
{communicator}(nselect:0) 	 	 {propagator, disseminator}(nselect:0)
{communicator}(nselect:0) 	 	 {publicist, publicizer, publiciser}(nselect:0)
{communicator}(nselect:0) 	 	 {quoter}(nselect:0)
{communicator}(nselect:0) 	 	 {rambler}(nselect:0)
{communicator}(nselect:0) 	 	 {respondent, responder, answerer}(nselect:0)
{communicator}(nselect:0) 	 	 {roarer, bawler, bellower, screamer, screecher, shouter, yeller}(nselect:0)
{communicator}(nselect:0) 	 	 {sender, transmitter}(nselect:0)
{communicator}(nselect:0) 	 	 {signaler, signaller}(nselect:0)
{communicator}(nselect:0) 	 	 {signer}(nselect:0)
{communicator}(nselect:0) 	 	 {swearer}(nselect:0)
